title,alias,category_bucket
Airsoft,airsoft,Activity
Amateur Sports Teams,amateursportsteams,Activity
Amusement Parks,amusementparks,Activity
Aquariums,aquariums,Activity
Archery,archery,Activity
ATV Rentals/Tours,atvrentals,Activity
Axe Throwing,axethrowing,Activity
Badminton,badminton,Activity
Baseball Fields,baseballfields,Activity
Basketball Courts,basketballcourts,Activity
Bathing Area,bathing_area,Activity
Batting Cages,battingcages,Activity
Beach Equipment Rentals,beachequipmentrental,Activity
Beaches,beaches,Activity
Beach Volleyball,beachvolleyball,Activity
Bicycle Paths,bicyclepaths,Activity
Bike Parking,bikeparking,Activity
Bike Rentals,bikerentals,Activity
Boating,boating,Activity
Bobsledding,bobsledding,Activity
Bocce Ball,bocceball,Activity
Bowling,bowling,Activity
Bubble Soccer,bubblesoccer,Activity
Bungee Jumping,bungeejumping,Activity
Canyoneering,canyoneering,Activity
Carousels,carousels,Activity
Challenge Courses,challengecourses,Activity
Climbing,climbing,Activity
Cycling Classes,cyclingclasses,Activity
Dart Arenas,dartarenas,Activity
Day Camps,daycamps,Activity
Disc Golf,discgolf,Activity
Diving,diving,Activity
Escape Games,escapegames,Activity
Experiences,experiences,Activity
Fencing Clubs,fencing,Activity
Fishing,fishing,Activity
Fitness & Instruction,fitness,Activity
Flyboarding,flyboarding,Activity
Soccer,football,Activity
Gliding,gliding,Activity
Go Karts,gokarts,Activity
Golf,golf,Activity
Gun/Rifle Ranges,gun_ranges,Activity
Gymnastics,gymnastics,Activity
Handball,handball,Activity
Hang Gliding,hanggliding,Activity
Hiking,hiking,Activity
Horseback Riding,horsebackriding,Activity
Horse Racing,horseracing,Activity
Hot Air Balloons,hot_air_balloons,Activity
Indoor Playcentre,indoor_playcenter,Activity
Jet Skis,jetskis,Activity
Kids Activities,kids_activities,Activity
Kiteboarding,kiteboarding,Activity
Lakes,lakes,Activity
Laser Tag,lasertag,Activity
Lawn Bowling,lawn_bowling,Activity
Leisure Centers,leisure_centers,Activity
Mini Golf,mini_golf,Activity
Mountain Biking,mountainbiking,Activity
Nudist,nudist,Activity
Paddleboarding,paddleboarding,Activity
Paintball,paintball,Activity
Paragliding,paragliding,Activity
Parasailing,parasailing,Activity
Parks,parks,Activity
Pickleball,pickleball,Activity
Playgrounds,playgrounds,Activity
Public Plazas,publicplazas,Activity
Races & Competitions,races,Activity
Racing Experience,racingexperience,Activity
Rafting/Kayaking,rafting,Activity
Recreation Centers,recreation,Activity
Rock Climbing,rock_climbing,Activity
Sailing,sailing,Activity
Scavenger Hunts,scavengerhunts,Activity
Scooter Rentals,scooterrentals,Activity
Senior Centers,seniorcenters,Activity
Skating Rinks,skatingrinks,Activity
Skiing,skiing,Activity
Skydiving,skydiving,Activity
Sledding,sledding,Activity
Snorkeling,snorkeling,Activity
Spin Classes,spinclasses,Activity
Sport Equipment Hire,sport_equipment_hire,Activity
Sports Clubs,sports_clubs,Activity
Squash,squash,Activity
Summer Camps,summer_camps,Activity
Surfing,surfing,Activity
Surf Lifesaving,surflifesaving,Activity
Swimming Pools,swimmingpools,Activity
Tennis,tennis,Activity
Trampoline Parks,trampoline,Activity
Tubing,tubing,Activity
Volleyball,volleyball,Activity
Water Parks,waterparks,Activity
Wildlife Hunting Ranges,wildlifehunting,Activity
Ziplining,zipline,Activity
Zoos,zoos,Activity
Zorbing,zorbing,Activity
Strip Clubs,stripclubs,Nightlife
Striptease Dancers,stripteasedancers,Nightlife
Senegalese,senegalese,Food & Drink
South African,southafrican,Food & Drink
Airport Terminals,airportterminals,Travel
Arab Pizza,arabpizza,Food & Drink
Glass Blowing,glassblowing,Professional Services
Arcades,arcades,Attraction
Betting Centers,bettingcenters,Attraction
Bingo Halls,bingo,Attraction
Cabaret,cabaret,Attraction
Casinos,casinos,Attraction
Castles,castles,Attraction
Choirs,choirs,Attraction
Country Clubs,countryclubs,Attraction
Cultural Center,culturalcenter,Attraction
Eatertainment,eatertainment,Attraction
Farms,farms,Attraction
Festivals,festivals,Attraction
Art Galleries,galleries,Attraction
Botanical Gardens,gardens,Attraction
Haunted Houses,hauntedhouses,Attraction
Jazz & Blues,jazzandblues,Attraction
LAN Centers,lancenters,Attraction
Mah Jong Halls,mahjong,Attraction
Makerspaces,makerspaces,Attraction
Marching Bands,marchingbands,Attraction
Cinema,movietheaters,Attraction
Museums,museums,Attraction
Music Venues,musicvenues,Attraction
Observatories,observatories,Attraction
Opera & Ballet,opera,Attraction
Pachinko,pachinko,Attraction
Paint & Sip,paintandsip,Attraction
Planetarium,planetarium,Attraction
Supernatural Readings,psychic_astrology,Attraction
Race Tracks,racetracks,Attraction
Rodeo,rodeo,Attraction
Social Clubs,social_clubs,Attraction
Sports Betting,sportsbetting,Attraction
Professional Sports Teams,sportsteams,Attraction
Stadiums & Arenas,stadiumsarenas,Attraction
Street Art,streetart,Attraction
Studio Taping,studiotaping,Attraction
Tablao Flamenco,tablaoflamenco,Attraction
Performing Arts,theater,Attraction
Ticket Sales,ticketsales,Attraction
Virtual Reality Centers,virtualrealitycenters,Attraction
Wineries,wineries,Attraction
Art Supplies,artsupplies,Shopping
Ateliers,ateliers,Shopping
Cooking Classes,cookingclasses,Shopping
Costumes,costumes,Shopping
Embroidery & Crochet,embroideryandcrochet,Shopping
Fabric Stores,fabricstores,Shopping
Framing,framing,Shopping
Paint-Your-Own Pottery,paintyourownpottery,Shopping
Aircraft Dealers,aircraftdealers,Auto
Aircraft Repairs,aircraftrepairs,Auto
Auto Detailing,auto_detailing,Auto
Auto Customization,autocustomization,Auto
Car Inspectors,autodamageassessment,Auto
Auto Electric Services,autoelectric,Auto
Auto Glass Services,autoglass,Auto
Auto Loan Providers,autoloanproviders,Auto
Auto Parts & Supplies,autopartssupplies,Auto
Auto Repair,autorepair,Auto
Auto Security,autosecurity,Auto
Auto Upholstery,autoupholstery,Auto
Aviation Services,aviationservices,Auto
Boat Dealers,boatdealers,Auto
Boat Parts & Supplies,boatpartsandsupplies,Auto
Body Shops,bodyshops,Auto
Car Dealers,car_dealers,Auto
Car Auctions,carauctions,Auto
Car Brokers,carbrokers,Auto
Car Buyers,carbuyers,Auto
Car Share Services,carshares,Auto
Car Wash,carwash,Auto
EV Charging Stations,evchargingstations,Auto
Fuel Docks,fueldocks,Auto
Gas Stations,gasstations,Auto
Golf Cart Dealers,golfcartdealers,Auto
Hybrid Car Repair,hybridcarrepair,Auto
Interlock Systems,interlocksystems,Auto
Marinas,marinas,Auto
Mobile Dent Repair,mobiledentrepair,Auto
Mobility Equipment Sales & Services,mobilityequipment,Auto
Motorsport Vehicle Dealers,motodealers,Auto
Motorcycle Dealers,motorcycledealers,Auto
Motorcycle Repair,motorcyclerepair,Auto
Motorsport Vehicle Repairs,motorepairs,Auto
Oil Change Stations,oilchange,Auto
